肌肉无力,Muscle weakness|
头晕,dizziness|have a sensation of dizziness|vertigo|be light in the had|be light in the head|dizziness|giddiness|have a sensation of dizziness|vertigines|vertigo|vertogoes|dizziness|lightheadedness|
结肠息肉,coli cpoly|polyp of colon|colonic polyp|
神阙穴,
金雀花,cytisas|scoparius|broom|scoparius|spartii,herba|spartium|
锦鸡儿,Caragana sinica(Buchoz.)Rehd.|
咳嗽,cough|tussis|begma|bex|cough|hawk|whoop|begma|bex|cough|tus.|tuss.|tussis|tussis|
咳嗽多,
营养不良性水肿,alimentary edea|malabsorption edema|nutritional edema|alimentary edema|famine edema|framine edema|hrnger edema|nutritional dropsy|nutritional edema|alimentary edema|famine dropsy|famine edema|hunger edema|nutritional dropsy|nutritional edema|
营养不良,dystrophia|dystrophy|malnutrition|paratrophia|undernutrition|cacotrophy|dystrophy|innutrition|malnourishment|malnutrition|parasynanche|undernutrition|cacotrophia|cacotrophy|dystrophia|dystrophy|hypothrepsia|kakatrophy|kakotrophy|malnutrition|nutritional disturbance|paratrophia|paratrophy|undernutrition|
腹痛,abdominal pain|abdomnalgia|cllic|abdominal pain|bellache|cllic|there is a pain in the abdomen|abdominal pain|bellyache|celialgia|celiodynia|coeliodynia|stomach-ache|
阵发性腹痛,paroxysmal abdominal pain|paroxysmal abdominal pain|
免疫力低下,hypoimmunity|
气穴,Energy Cave|Qixue|human point|
施治,determination of treament|undertake the treatment|
痤疮,acne|furuncles or prickly heat|acne|
消化性溃疡,peptic ulcer|peptic ulcer|peptic ulcer|PU|
痉挛性便秘,spastic constipation|spastic constipation|spastic constipation|
静脉,vein|vena|venae|vena|phleb-|phlebo-|vein|Ven|veno-|
周围神经损害,peripheral lesion|
周围神经炎,peripheral neuritis|peripheral neuritis|
卡氏肺囊虫肺炎,PCP|pneumocystis carinii pneumonitis|
幽门,pylorus|pylorus|janitor|ostium pyloricum|pyloric orifice|pylorus|Pyloro-|
年龄相关性白内障,age-related cataract|senile cataract|
老年性白内障,senile cataract|cataracta senilis|
咽喉不利,
咽喉溃疡,
肾脏缩小,
肾萎缩,atrophy of kidney|renal atrophy|
心脏异常,abnormality of the heart|
传导阻滞,block|blocking|conduction block|CB|conduction blockade|heart block|interruption|
房室传导阻滞,A-V block|atrial ventricular block|atrioventricular block|auriculo-ventricular block|auriculoventricular block|AVB|
心跳过速,
心动过速,pyknocardia|tachycardia|tachycardia|tachyrhythmia|pyknocardia|pyknosphygmia|sychnosphygmia|syncopexia|syncopexy|tach.|tachy.|tachycardia|tachyrhythmia|tachysystole|
欲吐,be seized with nausea|
盐卤,n. bittern|bittern|brine|brine s|
卤碱,
中药,pumice stone|bark of pubescent pricklyash|chinese drug|chinese drugs|fruit of prince-feather|potmarigold|prepared arisaema root|prepared kusnezoff monkshood root|prepared licorrice|prepared pinellia tuber|prepared rehmannia root|prepared rhubarb|Chinese crude drug|Chinese materia medica|Chinese medicinal materials|traditional Chinese medicine|
色素,pigment|pigments|pigment|chrom-|colorant|coloring material|coloring matter|colourant|pig.|pigm.|pigmented|pigments|pigmentum|stain|
肌肉撕裂,muscle rupture|torn muscle|
肌肉挛缩,Muscle contracture|
下身,
耳前淋巴结肿大,
视力模糊,blurred vision|blurring of vision|blurred vision|
排尿障碍,urinary dysfunction|
排尿不尽,
前额头痛,
呼吸急促,ecphysiesis|polypnea|shortness of breath|shortnessofbreath|be short of breath|ecphysiesis|polypnea|tachypnea|breathlessness|ecphysesis|polypnea|S of B|SB|short of breath|shortness of breath|tachypnea|
气急,short breath|shortbreath|breath lessness|
甲状腺肿大,thyoid enlargement|swollen masses goiter|swoolen masses goiter|Thyromegaly|
甲状腺肿,bronchocele|goiter|goitre|struma|goiter|deroncus|goiter|goitre|gongrona|struma|thyreocele|thyreoncus|thyrocele|thyromegaly|thyroncus|tracheophyma|Troell-Junet syndrome|
局限性肌张力障碍,
肌张力障碍,dystonia|dysmyotonia|myodystonia|myodystony|
气逆,reversed flow of qi|abnormal rising of the qi|abnormal rising of vital energy|acverseness of the vital energy|adverse flow of qi|reversed flow of qi|the adverse flow of qi|abnormal rising of vital energy|adverse rising of qi|
过敏性鼻炎,allergic rhinitis|allergicrhinitis|anaphylactic rhinitis|anaphylacticrhinitis|rhinallergosis|allergic rhinitis|allergic coryza|allergic rhinitis|anaphylactic rhinitis|AR|hyperesthetic rhinitis|Rh aller|rhinallergosis|rhinitis allergica|
痰喘,phlegm dyspnea|phlegmdyspnea|asthma caused by excessive phlegm|asthma due to excessive phlegm|humid asthma|phlegm dypnea|humid asthma|
妊娠恶阻,pernicious vomiting|perniciousvomiting|pernicious vomiting with pregnancy|pregnant reaction|
子病,
流鼻血,bleed at the nose|
鼻出血,nasal bleeding|nasal hemorrhage|nosebleed|rhinorrhagia|bleeding of the nose|epistaxis|nasal bleeding|nasal hemorrhage|noseblleed|rhinorrhagia|haemorrhagia nasalis|hemorrhinia|nasal bleeding|nasal hemorrhage|nosebleed|rhinorrhagia|
甲状旁腺功能减退,hypoparathyroidism|hypoparathyroidism|
骨质破坏,destruction of bone|destruction of bone|
骨质疏松,osteoporosis|osteoporosis|bone rarefaction|osteoporosis|rarefaction of bone|
前列腺硬结,
肌张力障碍,dystonia|dysmyotonia|myodystonia|myodystony|
头昏,dizziness|dizziness|
抑郁症,depression|depression|depressive disorder|
女性不孕,
咳嗽多,
急性阑尾炎,acute appendicitis|acuteappendicitis|acute appendicitis|acute appendicitis|
静脉回流障碍,
放射性肠炎,radiation enteritis|radiation enterocolitis|
放射性直肠,
脑性瘫痪,Cerebral palsy|
大脑性瘫痪,cerebral palsy|
阴茎异常勃起,priapism|styma|priapism|mentulagra|priapism|styma|
强中,persistent erection|persistent erection|
骨痛,bone ache|ostealgia|osteodynia|bone ache|osteodynia|ache,bone|bone ache|ostalgia|ostealgia|osteodynia|
震颤,
咽反射,pharyngealreflex|gag reflex|pharyngeal reflex|
步态不稳,Instability of gait|
走路不稳,
捻发音,crepitant rales|crackle|Crep|crepitant rale|crepitation|crepitus|
发音不清,asophia|asophia|
阴囊肿胀,scrotal swelling|
阴囊肿大,oscheocele|
劳力性呼吸困难,DOE|dyspnea on exertion|
经闭,amenia|amenorrhea|menostasis|amenia|amenorrhea|menischesis|suppressed menstruation|suppression of menses|AM|amenia|amenorrhea|menischesis|menoschesis|menostasis|suppression of menses|
心律不齐,arhythmia|arhythmia|arrhythmia|anisorhythmia|arhythmia|Arrhy|arrhythmia|irrhythmia|
心律失常,cardiac arrhythmia|arrhythmia|arrhythmia cordis|cardiac arrhythmia|timid arrhythmia|arhythmia|Arrhy|arrhythmia|CA|cardiac arrhythmia|cardiac dysrhythmia|CD|
腹痛腹泻,
眶周水肿,periorbital edema|
脓血便,bloody purulent stool|pus and blood stool|stools with pus and blood|pus and blood stool|stool with the blood and pus|bloody purulent stool|pus and blood stool|
粘液血便,mucous bloody stool|
偏执狂,partial insanity|
盆腔炎,pelvic inflammation|pelvic inflammatory disease|pelvicinflammatorydisease|pelvic inflammatory disease|pelvic inflammation|pelvic inflammatory disease|
佩兰,eupatorium|herb of fortune eupatorium|herb of forune eupaturium|eupatorii,herba|eupatorium|fortune eupatorium herb|queen of the meadow|
腹泻与便秘交替,
肾积水,hydronephrosis|hydronephrosis|nephrohydrops|nephrohydrosis|
肾积脓,pyonephrosis|
结膜充血,conjunctival congestion|conjunctival congestion|conjunctival congestion|conjunctival injection|
肌痛,myalgia|myodynia|myalgia|myosalgia|
甲状腺异常,
甲型病毒性肝炎,viral hepatitis A|viral hepatitis type A|
甲型肝炎,hepatitis a|epidemic jaundice|HA|hepatitis A|
急性腹痛,acute abdominal pain colic intestinal colic|acute abdominalgia|acute abdominal pain colic intestinal colic|acute abdominalgia|cramp|Acute abdominal pain|
上腹痛,epigastralgia|epigastric pain|epigastricpain|epigastralgia|pains in the epigastrium|Upper abdominal pain|Epigastric pain|
儿童偏头痛,
偏头痛,hemicrania|megrim|mgraine|migraine headache|bilious headache|blind headache|brow|brow ache|brow ague|brow pang|cephalagra|hemicrania|megrim|migraine|migraine headache|one-sided headache|sick headache|brow ache|brow pang|cephalagra|hemicrania|heterocrania|MH|migraine|migraine headache|migrainous headache|
全身过敏反应,
过敏反应,allergic reaction|anaphylactic reaction|anaphylactic response|sensitization response|allergic reaction|anaphylaxis|allergic response|anaphylactic response|anaphylaxis|hypersensitive reaction|hypersensitive response|
勃起障碍,erectile disfunction|ED|
阳萎,impotence invirility|sexual impotence|agenesis|impotence|asynodia|imp|invirility|
呼吸异常,abnormality of respiration|
呼吸不畅,
梅毒,lues|strawberry sores|lues|strawberry sores|syphilis|
无汗,anhidrosis|no sweat|adiaphoresis|adiapneustia|anhidrosis|anidrosis|no sweat|Absent sweating|
绞痛,angina|cllic|colic|colicky|colicky pain|tormentum|a gripping pain|angina|angor|cllic|colicky pain|tormentum|tormina|angor|colic|colic pain|colica|colicky pain|cramp|griping pain|tormentum|tormina|
心绞痛,angina cordis|angina pectoris|stenocardia|angina pectoris|angina pectoris and myocardial infarction|breast pang|ang. pect.|angina|angina cordis|angina pectoris|angor pectoris|AP|breast pang|cardiogmus|coronarism|diaphragmatic angina|heart-stroke|stenocardia|sternalgia|
氨基酸代谢病,aminoacidopathy|
氨基酸尿症,amino acid uria|amino acid uria|aminoaciduria|aminoaciduria|
显微型多血管炎,
显微镜下多动脉炎,
局部淋巴结肿大,
淋巴结肿大,enlargement of lymph nodes|lymphadenectasis|enlargement of lymph nodes|lymphadenectasis|
干眼症,xeroma|xerophthalmia|xeroma|xerophthalmia|
肝功能衰竭,hepatic failure|Liver function failure|
关节痛,arthralgia|arthralgia|arthrodynia|arthrosis|pain in articulation|arthralgia|arthrodynia|arthronalgia|joint pain|
关节疼痛,arthralgia|arthrodynia|numbness of the mucles and painful joints|
背痛,backache|carbuncle on the back|dorsalgia|notalgia|backache|dorsalgia|pain of the back|dorsalgia|dorsodynia|notalgia|
心脏肥大,hypertrophy of the heart|hypertrophy of the heart|cardiac enlargement|enlargement of heart|hypertrophy of heart|megalocardia|
先天性睾丸发育不全,congenital testicular hypoplasia|
病毒性上呼吸道感染,viral infection of upper respiratory tract|
利什曼病,leishmaniasis|leishmaniosis|leishmania disease|leishmaniasis|leishmaniosis|
多食,polyphagia|polyphagia|
多想,
痰鸣音,
痰鸣,rale|wheezy phlegm|
腹部肿块,
巩膜外层炎,episcleritis|episclerotitis|
眼睑下垂,ptosis|
上睑下垂,blepharoptosis|ptosis of the eyelid|ptosis of upper eyelid|blepharoptosis|ptosis of the eyelid|lapsus palpebrae superioris|ptosis|blepharoptosis|lapsus palpebrae superioris|
维生素D缺乏,
维生素D缺乏症,
鬼剃头,
急性呼吸困难,
胃阴虚,deficiency of the stomacg_yin|deficiency of the stomach-yin|deficiency of stmach-yin|deficiency of stomach-yin|asthenia of gastroyin|deficiency of gastric yin|
胃溃疡,gastrelceosis|gastrelcoma|gastriculcer|gastric ulcer|peptic ulcer|round ulcer|
慢性盆腔炎,chronic ipelvic inflammation|chronic pelvic inflammatory disease|chronic ipelvic inflammation|chronic pelvic inflammation|chronic pelvic inflammatory disease|
心跳停止,cardiac arrest|cardiacarrest|cardiac arrest|
颈动脉窦性晕厥,carotid sinus syncope|
晕厥,apsychia|exanimation|faint|syncope|?swoon|apsychia|eclipsis|exanimation|faint|lipothymia|pale complexion and even syncope|swoon|apopsychia|apsychia|eclipsis|exanimation|faint|fainting|leipothymia|lipothymia|lipsis animi|shock|swoon|syncope|
免疫缺陷,immunodeficiency|immunologic deficiency|ID|immune defect|immune deficiency|immunodeficiency|immunologic deficiency|immunologic deficit|
免疫低下,
晕厥,apsychia|exanimation|faint|syncope|?swoon|apsychia|eclipsis|exanimation|faint|lipothymia|pale complexion and even syncope|swoon|apopsychia|apsychia|eclipsis|exanimation|faint|fainting|leipothymia|lipothymia|lipsis animi|shock|swoon|syncope|
向心性肥胖,central obesity|centripetal obesity|
肥胖症,adiposis|obesity|adiposis|obesity|adiposity|adiposity|
盘状红斑,
肠出血,
直肠出血,hemoproctia|proctorrhagia|
菊花,chrysanthemum flower|chryanthemum flwoer|chrysanthemum|chrysanthemum flower|chrysanthemi flos|
老年性白内障,senile cataract|cataracta senilis|
马褂木,
气管阻塞,
视力模糊,blurred vision|blurring of vision|blurred vision|
地方性克汀病,endemic cretinism|endemic cretinism|endemic cretinism|
面骨,facial bones|ossa faciei|bones of face,facial bones|cranium viscerale|crinium viscerale|facial bones|ossa faciales|ossa faciei|ossa fascialia|visceral cranium|
视力障碍,visual disturbance|visual disturbance|visual disorder|
视力减退,diminution of vision|hypopsia|diminution of vision|hypopsia|taraxis|visual extinction|
乙酸乙酯,ethyl acetate|acetic ether|acetoacetate|EAc|Et Ac|eth acet|
醋酸乙酯,ethyl acetate|AcOET|ethyl acetate|
咳痰,expectoration|
咳脓痰,vomica|vomica|vomica|
精神萎靡,listlessness|feeling listless and inert|
神经衰弱,N D|degenerative conditions of the nervous system|nervous debility|nervous exhaustion|neurasthenia|neurosism|N-pros|nervous exhaustion|nervous prostration|neurasthenia|neurataxia|neuroasthenia|
地方性甲状腺肿,endemic goiter|endemic goiter|
胃息肉,polyp of stomach|Gastric polyp|
潮热,afternoon fever|afternoonfever|hectic fever|hecticfever|recurring fever|tidal fever or afternoon fever|afternoonfever|hectic fever|recurring fever|tidal fever|tidal fever or afternoon fever|hectic fever|
面瘫,facial paralyis|facial paralysis|Bell's palsy|Bell's paralysis|facial palsy|facial paralysis|facioplegia|FP|mimetic paralysis|prosoplegia|prosopoplegia|
赤帝,
血小板低,
呼吸急促,ecphysiesis|polypnea|shortness of breath|shortnessofbreath|be short of breath|ecphysiesis|polypnea|tachypnea|breathlessness|ecphysesis|polypnea|S of B|SB|short of breath|shortness of breath|tachypnea|
营养不良,dystrophia|dystrophy|malnutrition|paratrophia|undernutrition|cacotrophy|dystrophy|innutrition|malnourishment|malnutrition|parasynanche|undernutrition|cacotrophia|cacotrophy|dystrophia|dystrophy|hypothrepsia|kakatrophy|kakotrophy|malnutrition|nutritional disturbance|paratrophia|paratrophy|undernutrition|
肠易激综合征,irritable bowel syndrome|
小儿发热,fever in children|fever in children|fever in children|infantile fever|
间断发热,
老年斑,senile plaque|senile plaque|age pigment|liver spot|senile plaques|SP|
旋转性眩晕,rotatory vertigo|rotary vertigo|rotatory vertigo|systematic vertigo|
淋巴瘤,leucoma|lymjphoma|lymphadenoma|lymphoma|leucoma|leukoma|LY|lymphadenoma|lymphoma|
淋巴癌,
手足多汗,acrohyperhidrosis|polyhidrosis of hands and feet|
多汗症,hidrosis|hyperhidrosis|hyperhidrosis|polyidrosis|hyperhidrosis|polyhidrosis|
十二指肠扩张,duodenectasis|duodenectasis|
十二指肠炎,
流行性腮腺炎,epidemic parotitis|mumps|epidemic parotists|mumps|angina parotidea|EP|epidemic parotitis|
脊柱弯曲,campylorrhachia|campylorrhichia|rachiocampsis|rhachiocampsis|spinal curvature|
咳痰,expectoration|
黄色结节,
癌,cancer|carcinoma|CA|Can|cancer|carcin-|carcino-|carcinoma|carcinosis|malignant disease|
运动性失语,anandia|aphemia|logaphasia|logaphasia|anandia|aphemia|ataxic aphasia|logaphasia|motor aphasia|
失语,aphasia|alalia|anepia|APH|aphasia|asemasia|logagnosia|logagnosis|surditas verbalis|
脑膜刺激征,meningeal irritation sign|
脑膜炎,meningitis|pl meningitides|brain fever|cephalomeningitis|train fever|cephalitis meningica|cephalomeningitis|cerebral meningitis|cerebromeningitis|men.|mening.|meningitis|mgtis|
着凉,common cold|
巨细胞动脉炎,giantcellarteritis|giant cell arteritis|
颞动脉炎,TA|temporal arteritis|
维生素D缺乏症,
视力障碍,visual disturbance|visual disturbance|visual disorder|
乳房肿块,Lump in breast|
衰弱,asthenia|debility|emaciate|hyposthenia|weaknes|weakness|asthenia|debilitation|debility|declination|emaciate|pine|sink|wilt|wither|asth.|asthenia|depauperation|faintness|hyposthenia|infirmity|languish|rot|run-down|tabefaction|weakness|
神经衰弱,N D|degenerative conditions of the nervous system|nervous debility|nervous exhaustion|neurasthenia|neurosism|N-pros|nervous exhaustion|nervous prostration|neurasthenia|neurataxia|neuroasthenia|
咳嗽,cough|tussis|begma|bex|cough|hawk|whoop|begma|bex|cough|tus.|tuss.|tussis|tussis|
先兆子痫,preeclampsia|PE|preeclampsia|
肺隔离症,pulmonary sequestration|sequestration of lung|
性交疼痛,dyspareunia|dyspareunia|
阴道癌,carcinoma of vagina|
阴道恶性肿瘤,
结节病,La Verruga disease|nodular worm disease|nodule disease|sarcoid|
海绵肾,CCacchi-Ricci disease|sponge kidney|
眼肌瘫痪,ophthalmoparalysis|ophthalmoplegia|opthalmoplegia|ophthalmoparalysis|
